sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
gpqa_023,gpqa_diamond,1,0.4,0.2,0.0,4826.2,7895.6,14211.6
gpqa_024,gpqa_diamond,1,0.0,0.2,0.0,20531.4,27825.8,30702
gpqa_025,gpqa_diamond,1,0.4,0.0,0.4,17166.6,23409,33434.6
gpqa_026,gpqa_diamond,1,0.0,0.0,0.0,4385.4,3995,15631
gpqa_027,gpqa_diamond,1,0.2,0.2,0.6,20623.4,55775.8,45910.2
gpqa_028,gpqa_diamond,1,0.0,0.0,0.0,3109.8,2627.8,14033
gpqa_029,gpqa_diamond,1,0.4,0.6,0.2,8385,9787.4,11954.2
gpqa_031,gpqa_diamond,1,0.2,0.2,0.0,14278.4,19229.8,31534.6
gpqa_035,gpqa_diamond,1,0.0,0.0,0.0,4255.4,3331,12263
gpqa_036,gpqa_diamond,1,0.8,0.2,0.6,12987.4,10919.2,28187.6
gpqa_037,gpqa_diamond,1,0.4,0.2,0.2,17548.6,36496,41861.6
gpqa_038,gpqa_diamond,1,0.2,0.0,0.0,8533.8,4975.4,17764.4
gpqa_040,gpqa_diamond,1,0.0,0.4,0.6,7172.8,2204,14906.4
gpqa_042,gpqa_diamond,1,0.0,0.0,0.0,14822.2,22093.6,34941.8
gpqa_045,gpqa_diamond,1,0.0,0.0,0.2,13515.8,16552.4,22279
gpqa_052,gpqa_diamond,1,1.0,1.0,1.0,9908.2,1503.6,17165
gpqa_053,gpqa_diamond,1,0.6,0.6,0.2,14524.8,11914.8,22615
gpqa_054,gpqa_diamond,1,1.0,1.0,1.0,2019.6,957,2118.4
gpqa_056,gpqa_diamond,1,0.4,0.4,0.2,8668.2,14265,19811
gpqa_058,gpqa_diamond,1,0.6,0.2,0.6,5229.8,5544.4,9727.8
gpqa_059,gpqa_diamond,1,0.8,0.6,0.8,7247.4,3234.4,13729
gpqa_065,gpqa_diamond,1,0.4,0.2,0.0,9236.8,8222,16212.8
gpqa_067,gpqa_diamond,1,0.0,0.0,0.0,9426.6,12312.2,19678.2
gpqa_069,gpqa_diamond,1,0.0,0.0,0.0,21054.2,27776,41907.6
gpqa_070,gpqa_diamond,1,0.0,0.2,0.0,6586.6,3938.2,14724.2
gpqa_076,gpqa_diamond,1,0.0,0.0,0.0,17780.8,29078.4,37297
gpqa_078,gpqa_diamond,1,0.4,0.2,0.4,18429,22720.8,36545.4
gpqa_080,gpqa_diamond,1,0.4,0.2,0.6,17984.6,20987.8,30785
gpqa_085,gpqa_diamond,1,0.6,0.2,0.4,26204.8,42180.2,49445.8
gpqa_086,gpqa_diamond,1,0.6,1.0,1.0,16750.8,20482.8,27335
gpqa_087,gpqa_diamond,1,0.0,0.0,0.0,3036,2666.2,7754
gpqa_088,gpqa_diamond,1,0.0,0.2,0.2,30354.8,54202,57288
gpqa_089,gpqa_diamond,1,0.0,0.4,0.2,16029,29770,34731
gpqa_092,gpqa_diamond,1,0.8,0.4,0.6,9228.2,12351.4,21018.8
gpqa_097,gpqa_diamond,1,0.0,0.0,0.0,22505.2,14407.2,39037
gpqa_098,gpqa_diamond,1,0.0,0.0,0.0,9093.2,4031.8,16410.6
gpqa_100,gpqa_diamond,1,0.2,0.0,0.2,8506.6,5362.6,15410.6
gpqa_101,gpqa_diamond,1,0.0,0.2,0.2,28418,37645.2,46160.6
gpqa_103,gpqa_diamond,1,0.0,0.0,0.0,7958.4,11336.2,17317.6
gpqa_109,gpqa_diamond,1,0.8,0.4,0.8,13911.2,11966.6,23274.6
gpqa_110,gpqa_diamond,1,0.4,0.4,0.4,20639.6,23551.8,40407.6
gpqa_114,gpqa_diamond,1,0.4,0.2,0.8,8705.2,13807,19510.8
gpqa_116,gpqa_diamond,1,0.0,0.0,0.0,8060.4,9816.8,16552
gpqa_117,gpqa_diamond,1,0.0,0.0,0.0,12552.4,11857.4,29349.6
gpqa_118,gpqa_diamond,1,0.2,0.2,0.6,20921.2,59213.2,43025.6
gpqa_120,gpqa_diamond,1,0.2,0.2,0.2,26185.8,30703.2,37281
gpqa_121,gpqa_diamond,1,0.2,0.0,0.0,32867.6,49212.4,43056.8
gpqa_123,gpqa_diamond,1,1.0,0.8,1.0,4792.8,8048.2,11338.2
gpqa_127,gpqa_diamond,1,0.6,0.2,0.0,10960.2,18337.2,21426.8
gpqa_128,gpqa_diamond,1,0.2,0.2,0.2,17282.6,21607.8,28165
gpqa_133,gpqa_diamond,1,0.0,0.0,0.0,9876,6178.2,15695.2
gpqa_134,gpqa_diamond,1,0.0,0.8,0.2,4482.2,7762,26164.6
gpqa_136,gpqa_diamond,1,0.6,0.8,0.8,11805.8,17412.8,19988.4
gpqa_137,gpqa_diamond,1,0.2,0.0,0.2,7827,4364.6,16498.6
gpqa_138,gpqa_diamond,1,0.0,0.0,0.0,19173.8,24289.2,35479.6
gpqa_140,gpqa_diamond,1,0.0,0.0,0.0,13896.4,10672.4,22675.8
gpqa_144,gpqa_diamond,1,0.8,0.4,0.6,8812.2,8651.2,17974
gpqa_146,gpqa_diamond,1,0.2,0.0,0.4,4009.6,8259.8,18628.6
gpqa_148,gpqa_diamond,1,0.0,0.0,0.0,8467.6,9159.4,28569.2
gpqa_149,gpqa_diamond,1,0.0,0.0,0.0,23737,28442.6,43313.4
